FID,OBJECTID,BPID,Road_Class,FC,Miles,Rating_202,Rating_Cat,STREET_NAM,FROM_STREE,TO_STREET,BLOCK,WARD,WIDTH,Feet,Shape__Len,Shape__Length
1,1,SYR10,2,19,0.0712272470225,10,Excellent,Academy Place,Brooklea Dr.,Norman Av.,300,13,28,376.079864279,157.082409567,157.082409560407
2,2,SYR100,2,19,0.0932664206168,5,Poor,Arlington Ave.,Charmouth,Glenwood,300,13,36,492.446700857,205.778286257,205.778286263431
3,3,SYR1000,2,19,0.0590437029188,7,Good,"Division St., E.",Carbon,Spring,800,3,33,311.750751411,130.258926145,130.25892614366
4,4,SYR1002,2,19,0.197650355137,6,Fair,Doll Pkwy,Carlton,Demong,100,17,22,1043.59387512,435.867094289,435.867094293646
5,5,SYR1004,2,19,0.0876816573455,5,Poor,Dorchester Ave,Wheaton,Gray,100,4,27,462.959150784,193.535873255,193.535873245309
6,6,SYR1005,2,19,0.13438244396,5,Poor,Dorchester Ave,Gray,Fordham,200,4,27,709.539304107,296.734476524,296.734476538684
7,7,SYR1006,2,19,0.155555291083,7,Good,Dorothy St,Sedgwick,Vine,100,6,27,821.331936918,342.581475974,342.581475970577
8,8,SYR1007,2,19,0.117607049006,7,Good,Dorothy St,Vine,Wilson,200,6,27,620.965218754,259.02141071,259.021410704463
9,9,SYR1008,2,19,0.167855477649,6,Fair,Dorset Rd,Berkely,Stratford,100,16,24,886.276921984,369.547804593,369.547804582997
10,10,SYR1009,2,17,0.167653667622,7,Good,Dorwin Ave,S. Salina,Ida Ave,100,14,27,885.211365042,368.37130792,368.371307919817
11,11,SYR101,2,19,0.257279724061,6,Fair,Armstrong Pl.,South,Mitchell,100200,13,27,1358.43694304,565.56556593,565.565565926896
12,12,SYR1010,2,17,0.169241772291,7,Good,Dorwin Ave.,Ida Ave,bridge,200,14,27,893.596557696,371.86007186,371.860071861464
13,13,SYR1011,2,17,0.240860929535,10,Excellent,Dorwin Ave.,bridge,Valley Dr.,300,13,27,1271.74570795,529.229812274,529.229812264438
14,14,SYR1012,2,19,0.111743837755,9,Excellent,Dougall Ave,Colvin,Elk,100,19,25,590.007463347,246.220796626,246.220796620338
15,15,SYR1013,2,19,0.0823841188822,4,Poor,Douglas St,Lodi,Rosewood,100,6,27,434.988147698,181.434137606,181.434137604833
16,16,SYR1014,2,19,0.0996507430051,4,Poor,Douglas St,Rosewood,Highland,200,6,27,526.155923067,219.455490995,219.455490989594
17,17,SYR1015,2,19,0.127644152174,6,Fair,Douglas St,Highland,Graves,300,6,27,673.961123477,281.113247404,281.113247398511
18,18,SYR1016,2,19,0.171369525001,4,Poor,Douglas St,Graves,Oak,400,4,27,904.831092008,377.411582389,377.411582386514
19,19,SYR1017,2,19,0.0527577210132,9,Excellent,Driscoll Ave,Avery,Hayden,100,7,25,278.56076695,116.132224803,116.132224803282
20,20,SYR1020,2,19,0.066398094021,9,Excellent,Duane St,Bellevue,Grant Av,100,11,28,350.581936431,146.524358906,146.524358890631
21,21,SYR1021,2,19,0.0629255092391,9,Excellent,Duane St,Grant Av,Laforte,200,11,0,332.246688782,138.859474364,138.859474372684
22,22,SYR1022,2,19,0.0614394069283,9,Excellent,Duane St,Laforte,Stolp,300,11,0,324.400068581,135.5775395,135.577539497258
23,23,SYR1023,2,19,0.0623438960037,6,Fair,Dudley St,Delaware,Fitch,100,10,34,329.175770899,137.487397095,137.487397094485
24,24,SYR1024,2,19,0.062373884411,6,Fair,Dudley St.,Fitch,Putnam,200,11,34,329.33410969,137.551380014,137.551380010456
25,25,SYR1025,2,19,0.0290892557673,6,Fair,Dudley St.,Putnam,Elliot,300,11,34,153.591270451,64.1586120612,64.1586120603913
26,26,SYR1026,2,19,0.0639712158245,7,Good,Dudley St.,Elliot,Onondaga,400,11,34,337.768019553,141.174514858,141.174514865869
27,27,SYR1027,2,19,0.0747803295298,4,Poor,Dudley St.,Onondaga,Bellevue,500,11,34,394.840139917,165.025432052,165.025432043182
28,28,SYR1028,2,19,0.127551838484,9,Excellent,Dundee Dr,Ethel,Glenwood,100,11,25,673.473707196,281.441154462,281.441154465235
29,29,SYR1029,2,17,0.223979355208,8,Good,Durston Ave,James,Chatham,100,4,25,1182.6109955,494.529617338,494.529617324842
30,30,SYR1030,2,17,0.0802705508539,7,Good,Durston Ave.,Chatham,Rugby Rd.,200,4,25,423.828508509,177.23820086,177.238200867578
31,31,SYR1031,2,17,0.0701204039546,8,Good,Durston Ave.,Rugby Rd.,Kline,300,4,25,370.23573288,154.829250557,154.829250554463
32,32,SYR1032,2,17,0.219972731302,8,Good,Durston Ave.,Kline,Mertens,400,4,25,1161.45602127,485.725547178,485.725547177608
33,33,SYR1033,2,17,0.0881143747712,6,Fair,Durston Ave.,Mertens,Grant Blvd.,500,4,25,465.243898792,194.573807122,194.573807125792
34,34,SYR1034,2,19,0.109142556081,4,Poor,East Ave,Salt Springs,Blossom Rd.,100,17,27,576.272696107,240.893700956,240.893700958452
35,35,SYR1035,2,19,0.129948410022,4,Poor,East Ave,Blossom,E. Genesee,200,17,27,686.127604916,286.766484239,286.766484243366
36,36,SYR1036,2,19,0.0653392440055,7,Good,Eastman Ave,May,South,100,13,25,344.991208349,143.650551588,143.650551585523
37,37,SYR1038,2,19,0.0641847806806,7,Good,Eastwood Rd.,North,Edtim Rd.,100,4,35,338.895641993,141.320435994,141.320435995889
38,38,SYR1040,2,19,0.218739190977,6,Fair,Edgehill Rd,Salt Springs,dead end,100,17,25,1154.94292836,482.797986655,482.797986649988
39,39,SYR1041,2,19,0.202287106401,5,Poor,Edgemont Dr,Kimber Rd.,Hadden Rd.,100,17,25,1068.0759218,444.897860987,444.897860989401
40,40,SYR1042,2,19,0.237907312891,5,Poor,Edgemont Dr,Hadden Rd.,Lockwood Rd.,200,17,25,1256.15061206,523.641872462,523.641872471358
41,41,SYR1043,2,19,0.0563499676925,6,Fair,Edgewood Ave,Elmwood,Fairfield,100,13,26,297.527829416,124.28451152,124.284511514572
42,42,SYR1044,2,19,0.0607677235484,6,Fair,Edgewood Ave,Fairfield,Hutchinson,200,13,26,320.853580335,134.066325818,134.066325823688
43,43,SYR1045,2,19,0.0897340728434,5,Poor,Edgewood Ave,Hutchinson,Lynch,300,13,26,473.795904613,197.968080814,197.96808081285
44,44,SYR1048,2,19,0.163450019733,9,Excellent,Edison St,Geddes,Liberty,200,2,0,863.016104189,359.544673046,359.54467304687
45,45,SYR105,2,19,0.146979762805,6,Fair,Arnold Ave.,Thurber,Holmes,100,19,26,776.053147612,324.275897938,324.275897937878
46,46,SYR1050,2,19,0.255389443271,5,Poor,Edna Rd,Gary,Hayes,100200,14,27,1348.45626047,561.151797054,561.151797060508
47,47,SYR1051,2,19,0.146634167635,7,Good,Edtim Rd,Village Dr.,Eastwood Rd.,100,4,32,774.228405112,322.970653341,322.970653341832
48,48,SYR1052,2,19,0.132487178344,7,Good,"Edwards Ave.,N.",James,Tyson,100,5,29,699.532301656,292.540062194,292.540062197383
49,49,SYR1053,2,19,0.197402886156,7,Good,"Edwards Ave.,N.",Tyson,Coughlin,200,4,29,1042.28723891,435.907635702,435.907635696564
50,50,SYR1054,2,19,0.173655116926,6,Fair,"Edwards Ave.,N.",Coughlin,City Line,300,4,29,916.899017371,383.483831664,383.483831662535
51,51,SYR1055,2,19,0.171135242894,7,Good,"Edwards Ave.,S.",James,Northcliffe,100,5,24,903.594082481,377.869092157,377.869092153454
52,52,SYR1056,2,19,0.157743278912,6,Fair,"Edwards Ave.,S.",Northcliffe,Glencove,200,5,24,832.884512657,348.288618445,348.288618446605
53,53,SYR1057,2,19,0.15588610902,6,Fair,"Edwards Ave.,S.",Glencove,Sunnycrest,300,5,24,823.078655628,344.175426715,344.175426708236
54,54,SYR1058,2,19,0.141321883135,6,Fair,"Edwards Ave.,S.",Sunnycrest,Caleb,400,5,24,746.179542952,312.00825252,312.008252519204
55,55,SYR1059,2,19,0.107579389592,7,Good,"Edwards Ave.,S.",Caleb,Burnet,500,5,31,568.019177044,237.504998661,237.504998660691
56,56,SYR106,2,19,0.109866277906,9,Excellent,Arnold Ave.,Holmes,Thayer,200,19,26,580.093947342,242.387311536,242.387311544486
57,57,SYR1060,2,19,0.12370817262,6,Fair,Eldorado St.,Teall,Hixson,100,5,27,653.179151432,272.160896892,272.16089689551
58,58,SYR1061,2,19,0.0695963538889,6,Fair,Eldorado St.,Hixson,dead end,200,5,27,367.468748533,153.113232618,153.1132326125
59,59,SYR1063,2,19,0.0554069733982,6,Fair,Elizabeth St,Garfield,dead end,200,19,27,292.548819543,121.828775136,121.828775137527
60,60,SYR1064,2,19,0.102348490103,5,Poor,Elk St,S. Salina,S. State,100,19,27,540.400027741,225.041624983,225.041624970451
61,61,SYR1065,2,19,0.124285403692,5,Poor,Elk St,S. State,Dougall,200,19,27,656.226931496,273.259708709,273.259708720384
62,62,SYR1066,2,19,0.0544728299635,7,Good,Ellen St,Kenwood,dead end,100,1,0,287.616542207,120.098444003,120.098443998049
63,63,SYR1067,2,19,0.0556379191537,6,Fair,Elliot St,Putnam,Dudley,100,11,28,293.768213132,122.347253287,122.347253292203
64,64,SYR1069,2,19,0.101147481584,7,Good,Elliot St,Bradley,Geddes,300,11,28,534.058702766,222.481020387,222.481020394408
65,65,SYR107,2,19,0.062623158416,9,Excellent,Arnold Ave.,Thayer,Pine Grove,300,19,26,330.650276436,138.147867103,138.147867097989
66,66,SYR1070,2,19,0.143208053062,9,Excellent,Elliot St,Geddes,Arthur,400,11,28,756.138520168,314.914348927,314.914348922256
67,67,SYR1071,2,19,0.0662340093979,7,Good,Ellis St,E. Fayette,Lexington,300,17,28,349.715569621,146.199847191,146.199847183067
68,68,SYR1072,2,19,0.149961761994,7,Good,Ellis St,Lexington,Genesee,400,17,28,791.798103327,331.002449379,331.002449379886
69,69,SYR1073,2,19,0.226438881723,5,Poor,Elm Street,Burnet,Hawley,300,6,30,1195.5972955,499.871418692,499.871418687898
70,70,SYR1074,2,19,0.175914652259,7,Good,Elm Street,Hawley,Lincoln Pk. Dr.,400,6,30,928.829363926,388.355651236,388.355651241619
71,71,SYR1075,2,19,0.163400210996,7,Good,Elm Street,Lincoln Pk. Dr.,Sedgwick,500,6,30,862.75311406,360.322793524,360.322793527465
72,72,SYR1076,2,19,0.11881388512,4,Poor,Elmhurst Ave E,Hatch,creek,100,19,27,627.337313432,261.210206877,261.210206871299
73,73,SYR1077,2,19,0.0863991199944,6,Fair,Elmhurst Ave W,creek,Randall,100,13,27,456.18735357,189.946171155,189.946171152299
74,74,SYR1078,2,19,0.0587675053458,6,Fair,Elmhurst Ave W,Randall,Bishop,200,13,27,310.292428226,129.198520464,129.198520467383
75,75,SYR1079,2,19,0.0689321446566,5,Poor,Elmhurst Ave W,Bishop,South Av,300,13,27,363.961723787,151.544783619,151.544783623479
76,76,SYR1080,2,19,0.21479260019,6,Fair,Elmwood Ave,Glenwood,Edgewood,100,13,24,1134.104929,472.536537641,472.536537626203
77,77,SYR1081,2,19,0.0889660880439,6,Fair,Eloise Ter,Onondaga Ave,dead end,100,12,18,469.740944872,195.805028359,195.805028370704
78,78,SYR1082,2,19,0.0811509069156,6,Fair,Elsner St,Schiller Park,Oak,100,4,28,428.476788514,178.547069245,178.547069239268
79,79,SYR1084,2,19,0.0560846313462,5,Poor,Elsner St,Helen,Dewitt,200,4,28,296.126853508,123.398667145,123.398667148667
80,80,SYR1089,2,19,0.0870531102726,9,Excellent,Emerson Ave.,Genesee,Erie St.,500,7,36,459.640422239,192.131087231,192.131087221444
81,81,SYR109,2,19,0.131680565511,6,Fair,Arnts Pl.,Grant Blvd.,Burdick,100,1,28,695.273385896,290.560399457,290.560399449551
82,82,SYR1092,2,19,0.308591078577,6,Fair,Emerson Ave.,Harbor,Milton,800,7,36,1629.36089489,680.170133926,680.170133927288
83,83,SYR1093,2,19,0.231809070806,7,Good,Emerson Ave.,Milton/Chemung,Erie Blvd.,900,7,36,1223.95189386,510.432557449,510.43255743734
84,84,SYR1094,2,19,0.0982644495271,5,Poor,Emerson Ave.,Erie Blvd,Kane Rd.,1000,7,30,518.836293503,216.772102053,216.772102055903
85,85,SYR1096,2,19,0.0698313975017,10,Excellent,Empire Ave,Atlantic,Ballantyne,100,13,25,368.709778809,154.022897816,154.022897820674
86,86,SYR1097,2,19,0.119788910783,10,Excellent,Empire Ave,Ballantyne,Pacific,200,13,25,632.485448933,264.205684506,264.205684505084
87,87,SYR1098,2,19,0.115361624692,6,Fair,Enfield Pl,Edgemont,Hillsboro,100,17,26,609.109378376,254.161299779,254.161299768828
88,88,SYR1099,2,19,0.189698641249,7,Good,Englert Ave,Cadillac,Court,100,1,23,1001.60882579,418.165305991,418.165306001956
