FID,BPID,Miles,STREET_NAM,FROM_ROAD,TO_ROAD,BLOCK,WARD,WIDTH__fee,Final_Rati,Rating_Cat,FC_Code,FC_Descrip,Date_Enter,Shape__Length
1,SYR2454,0.157035434716,Monticello Dr S,Phelps Pl.,dead end,200,14,26,9,Excellent,19,Local,2021/07/19 00:00:00+00,345.864143856411
2,SYR1496,0.084427939575,Glenwood Ave.,Velasko,Dundee,1400,11,25,9,Excellent,17,Collector,2021/06/10 00:00:00+00,185.751118062017
3,SYR2455,0.123750838733,Mooney Ave.,Teall,Hixson,100,5,25,6,Fair,19,Local,2021/06/25 00:00:00+00,272.250430975119
4,SYR1497,0.0730634211108,Glenwood Ave.,Dundee,Austin,1500,11,25,9,Excellent,17,Collector,2021/06/10 00:00:00+00,160.741383399057
5,SYR2456,0.0869384037526,Mooney Ave.,Hixson,dead end,200,5,25,6,Fair,19,Local,2021/06/25 00:00:00+00,191.264039926057
6,SYR1498,0.0573141853043,Glenwood Ave.,Austin,Sunhill Terr.,1600,11,25,9,Excellent,17,Collector,2021/06/10 00:00:00+00,126.096774013687
7,SYR2457,0.0616712163471,Moore Ave,Colvin,Michaels,100,19,25,7,Good,19,Local,2021/07/22 00:00:00+00,136.079791224888
8,SYR1499,0.0673484727056,Glenwood Ave.,Sunhill Terr.,Archer,1700,11,25,9,Excellent,17,Collector,2021/06/10 00:00:00+00,148.289239366506
9,SYR2458,0.312707969279,Moore Ave,Michaels Cir,Smith La,200,19,25,5,Poor,19,Local,2021/07/22 00:00:00+00,689.564094387652
10,SYR15,0.159657522816,Ackerman Ave.,Euclid,Stratford,800,16,27,9,Excellent,19,Local,2021/07/20 00:00:00+00,352.343565335057
11,SYR2459,0.035923546413,Morey Ave,Coral Ave,dead end,100,13,18,9,Excellent,19,Local,2021/07/16 00:00:00+00,78.9819364352304
12,SYR150,0.0758876911225,"Avery Ave., N.",W. Genesee,Erie St.,600,7,36,8,Good,17,Collector,2021/06/10 00:00:00+00,167.390621558914
