Date,"43.001263,-76.136971","616 Teall Ave, Syracuse, NY 13206, USA","53-25 Harborside Dr, Syracuse, NY 13290, USA","2121-23 South Ave, Syracuse, NY 13207, USA","405 Seeley Rd, Syracuse, NY 13224, USA","700 Irving Ave, Syracuse, NY 13210, USA","412 S Avery Ave, Syracuse, NY 13219, USA","2112 S Geddes St, Syracuse, NY 13207, USA","134 Prospect Ave, Syracuse, NY 13203, USA",ObjectId
12-23-2022 00,34,36,37,36,35,37,34,36,37,1
01-04-2023 12,47,47,46,45,46,46,45,46,47,2
12-25-2022 02,14,15,11,14,11,15,12,13,12,3
12-31-2022 08,45,46,49,45,46,47,43,45,47,4
12-27-2022 04,22,24,21,25,31,22,22,23,23,5
12-23-2022 01,35,35,36,35,34,36,33,35,36,6
01-04-2023 13,46,46,45,46,45,47,44,45,46,7
12-25-2022 03,13,16,12,15,13,14,13,14,14,8
12-31-2022 09,47,49,51,46,50,48,44,47,49,9
12-27-2022 05,21,23,22,23,21,23,21,22,26,10
12-23-2022 02,36,36,37,36,35,35,34,36,37,11
01-04-2023 14,45,45,44,45,46,45,45,48,47,12
12-25-2022 04,14,15,,16,14,15,,15,15,13
12-27-2022 06,22,24,21,24,22,24,22,23,23,14
12-29-2022 06,26,26,29,30,27,29,28,29,26,15
12-31-2022 10,51,52,54,49,51,51,47,52,51,16
12-23-2022 03,35,37,38,37,34,36,35,35,38,17
01-04-2023 15,46,46,45,44,45,46,44,45,45,18
12-25-2022 05,,16,13,15,13,16,14,14,14,19
12-31-2022 11,52,53,55,51,52,52,51,53,52,20
12-27-2022 07,21,23,22,23,21,23,21,22,24,21
12-29-2022 07,28,28,30,32,26,31,30,30,27,22
12-23-2022 04,36,38,39,36,35,37,34,36,39,23
01-04-2023 16,45,45,44,45,44,45,43,44,44,24
12-25-2022 06,15,17,12,16,14,17,13,15,15,25
12-27-2022 08,22,24,23,24,22,24,23,24,25,26
12-29-2022 08,29,31,31,36,29,33,32,32,37,27
12-31-2022 12,51,54,54,55,53,51,50,52,53,28
12-23-2022 05,35,37,38,37,36,38,35,37,,29
01-04-2023 17,46,47,45,44,46,46,44,45,45,30
12-25-2022 07,14,16,13,15,15,16,14,,16,31
12-27-2022 09,24,25,24,23,24,25,25,23,26,32
12-29-2022 09,32,34,39,38,36,34,39,39,45,33
12-31-2022 13,53,55,56,52,54,55,52,54,55,34
12-23-2022 06,36,38,39,36,35,39,34,36,40,35
01-04-2023 18,45,45,44,45,44,45,43,44,44,36
12-25-2022 08,15,20,17,18,14,19,15,16,15,37
12-27-2022 10,23,27,29,29,29,24,30,29,35,38
12-29-2022 10,35,48,45,45,41,38,44,44,53,39
12-31-2022 14,52,54,55,54,53,53,53,53,54,40
12-23-2022 07,35,39,41,38,37,38,35,37,41,41
01-04-2023 19,44,44,45,44,46,44,44,45,45,42
12-25-2022 09,16,25,19,20,19,20,18,20,28,43
12-27-2022 11,26,37,32,27,30,30,34,35,40,44
12-29-2022 11,38,55,51,42,47,41,48,45,57,45
12-31-2022 15,51,53,53,51,52,52,51,52,53,46
12-23-2022 08,37,40,40,40,36,39,37,38,40,47
01-04-2023 20,45,45,44,45,44,45,43,44,44,48
12-25-2022 10,18,30,20,21,22,23,21,22,31,49
12-27-2022 12,28,35,31,29,32,31,33,33,41,50
12-29-2022 12,40,60,55,43,50,44,49,53,61,51
12-31-2022 16,50,52,52,50,50,51,49,51,51,52
12-23-2022 09,39,42,43,41,39,41,38,40,42,53
01-04-2023 21,44,44,45,44,46,,44,45,45,54
12-25-2022 11,19,31,25,22,21,22,25,24,33,55
12-31-2022 17,49,51,51,49,52,50,50,50,50,56
12-29-2022 13,41,62,56,52,48,41,45,56,62,57
12-27-2022 13,30,34,30,30,29,32,29,30,34,58
12-23-2022 10,40,43,42,42,40,43,40,41,43,59
01-04-2023 22,43,43,44,47,43,46,42,43,44,60
12-25-2022 12,21,33,27,21,28,20,27,29,35,61
12-29-2022 14,42,55,51,45,46,44,43,51,53,62
12-27-2022 14,29,33,29,28,28,30,27,28,32,63
12-23-2022 11,33,33,31,33,41,32,31,31,41,64
12-31-2022 18,50,52,52,50,50,51,49,51,51,65
01-04-2023 23,44,44,43,44,44,45,43,45,,66
12-25-2022 13,22,32,26,22,29,19,28,28,34,67
12-29-2022 15,41,52,49,44,44,45,41,49,51,68
12-31-2022 19,49,51,51,51,52,50,48,50,50,69
12-27-2022 15,28,30,27,27,25,28,26,27,31,70
01-05-2023 00,46,45,44,45,43,44,44,46,45,71
12-23-2022 12,32,32,25,32,31,31,29,32,27,72
12-25-2022 14,23,24,22,23,23,18,29,30,31,73
12-31-2022 20,48,50,52,50,49,54,49,51,51,74
12-29-2022 16,42,49,48,47,43,43,40,46,48,75
12-27-2022 16,30,29,26,26,27,27,25,25,28,76
01-05-2023 01,45,46,46,46,45,48,45,45,48,77
12-23-2022 13,26,25,23,27,29,23,23,26,22,78
12-25-2022 15,21,22,21,22,22,20,22,22,23,79
12-25-2022 16,19,20,17,20,20,18,20,20,20,80
12-25-2022 17,17,18,16,19,18,17,19,19,17,81
12-25-2022 18,18,20,18,20,17,19,18,18,18,82
12-25-2022 19,19,21,19,21,18,20,19,20,19,83
12-25-2022 20,18,20,18,20,19,19,18,19,20,84
12-25-2022 21,19,19,17,21,18,18,19,20,19,85
12-25-2022 22,18,20,18,20,17,19,18,18,18,86
12-25-2022 23,19,19,17,19,18,18,17,19,19,87
12-26-2022 00,17,18,16,20,17,17,18,18,18,88
12-26-2022 01,16,15,14,18,16,15,16,16,15,89
12-26-2022 02,15,14,13,17,14,14,15,15,13,90
12-26-2022 03,14,13,12,24,13,,14,14,12,91
12-26-2022 04,13,14,11,17,12,13,15,13,11,92
12-26-2022 05,14,13,12,16,13,14,14,14,12,93
12-26-2022 06,13,,11,17,12,13,13,13,11,94
12-26-2022 07,12,14,13,16,15,14,14,14,12,95
12-26-2022 08,13,15,16,18,14,15,16,15,19,96
12-26-2022 09,16,17,20,20,16,16,19,21,22,97
12-26-2022 10,19,28,26,22,22,19,25,24,33,98
12-26-2022 11,22,33,27,24,27,26,29,31,39,99
12-26-2022 12,24,28,26,25,37,28,25,26,30,100
12-26-2022 13,26,30,25,26,30,29,26,30,36,101
12-26-2022 14,25,29,24,25,27,28,25,26,31,102
12-26-2022 15,23,26,21,23,23,24,23,22,26,103
12-26-2022 16,21,24,20,22,22,22,22,21,24,104
12-26-2022 17,22,23,19,23,21,21,21,22,23,105
12-26-2022 18,21,24,20,22,26,22,22,21,22,106
12-26-2022 19,20,23,,23,21,25,21,22,23,107
12-26-2022 20,21,24,21,22,20,22,22,21,22,108
12-26-2022 21,22,23,20,23,21,23,21,22,23,109
12-26-2022 22,21,24,21,22,22,22,22,21,22,110
12-26-2022 23,22,23,20,23,21,23,21,22,23,111
12-27-2022 00,21,24,21,27,25,22,22,23,29,112
12-27-2022 01,22,23,20,23,21,23,21,22,22,113
12-27-2022 02,21,24,21,22,20,22,22,21,23,114
12-27-2022 03,,23,20,23,21,23,21,22,22,115
12-31-2022 21,50,51,51,51,50,50,48,50,50,116
12-29-2022 17,41,48,47,45,44,45,41,45,47,117
01-05-2023 02,42,44,44,44,43,45,43,42,45,118
12-31-2022 22,49,50,50,50,49,51,49,49,49,119
